category,parameter,current_value,system_default_in_log,current_setup_default_in_log,changed_from_logged_default,unit,px4_group,short_description,source_status
多旋翼位置/速度/轨迹控制,MPC_YAWRAUTO_MAX,60.0,,,,deg/s,Multicopter Attitude Control,Maximum yaw rate in autonomous modes,metadata
多旋翼位置/速度/轨迹控制,MPC_YAW_EXPO,0.6000000238418579,,,,,Multicopter Position Control,Manual control stick yaw rotation exponential curve,metadata
多旋翼位置/速度/轨迹控制,MPC_YAW_MODE,0,,,,,Mission,Heading behavior in autonomous modes,metadata
多旋翼位置/速度/轨迹控制,MPC_Z_MAN_EXPO,0.6000000238418579,,,,,Multicopter Position Control,Manual control stick vertical exponential curve,metadata
多旋翼位置/速度/轨迹控制,MPC_Z_P,1.0,,,,,Multicopter Position Control,Proportional gain for vertical position error,metadata
多旋翼位置/速度/轨迹控制,MPC_Z_VEL_ALL,-3.0,,,,,Multicopter Position Control,Overall Vertical Velocity Limit,metadata
多旋翼位置/速度/轨迹控制,MPC_Z_VEL_D_ACC,0.0,,,,,Multicopter Position Control,Differential gain for vertical velocity error,metadata
多旋翼位置/速度/轨迹控制,MPC_Z_VEL_I_ACC,2.0,,,,,Multicopter Position Control,Integral gain for vertical velocity error,metadata
多旋翼位置/速度/轨迹控制,MPC_Z_VEL_MAX_DN,20.0,50.0,50.0,yes,m/s,Multicopter Position Control,Maximum descent velocity,metadata
多旋翼位置/速度/轨迹控制,MPC_Z_VEL_MAX_UP,30.0,50.0,50.0,yes,m/s,Multicopter Position Control,Maximum ascent velocity,metadata
多旋翼位置/速度/轨迹控制,MPC_Z_VEL_P_ACC,4.0,,,,,Multicopter Position Control,Proportional gain for vertical velocity error,metadata
多旋翼位置/速度/轨迹控制,MPC_Z_V_AUTO_DN,3.0,1.5,1.5,yes,m/s,Multicopter Position Control,Descent velocity in autonomous modes,metadata
多旋翼位置/速度/轨迹控制,MPC_Z_V_AUTO_UP,5.0,3.0,3.0,yes,m/s,Multicopter Position Control,Ascent velocity in autonomous modes,metadata
多旋翼姿态控制,MC_PITCHRATE_MAX,180.0,220.0,220.0,yes,deg/s,Multicopter Attitude Control,Max pitch rate,metadata
多旋翼姿态控制,MC_PITCH_P,4.5,4.0,4.0,yes,,Multicopter Attitude Control,Pitch P gain,metadata
多旋翼姿态控制,MC_ROLLRATE_MAX,180.0,220.0,220.0,yes,deg/s,Multicopter Attitude Control,Max roll rate,metadata
多旋翼姿态控制,MC_ROLL_P,4.5,4.0,4.0,yes,,Multicopter Attitude Control,Roll P gain,metadata
多旋翼姿态控制,MC_YAWRATE_MAX,90.0,200.0,200.0,yes,deg/s,Multicopter Attitude Control,Max yaw rate,metadata
多旋翼姿态控制,MC_YAW_P,2.0,2.799999952316284,2.799999952316284,yes,,Multicopter Attitude Control,Yaw P gain,metadata
多旋翼姿态控制,MC_YAW_WEIGHT,0.4000000059604645,,,,,Multicopter Attitude Control,Yaw weight,metadata
多旋翼慢速模式控制,MC_SLOW_DEF_HVEL,3.0,,,,m/s,Multicopter Position Slow Mode,Default horizontal velocity limit,metadata
多旋翼慢速模式控制,MC_SLOW_DEF_VVEL,1.0,,,,m/s,Multicopter Position Slow Mode,Default vertical velocity limit,metadata
多旋翼慢速模式控制,MC_SLOW_DEF_YAWR,45.0,,,,deg/s,Multicopter Position Slow Mode,Default yaw rate limit,metadata
多旋翼慢速模式控制,MC_SLOW_MAP_HVEL,0,,,,,Multicopter Position Slow Mode,Manual input mapped to scale horizontal velocity in position slow mode,metadata
多旋翼慢速模式控制,MC_SLOW_MAP_PTCH,0,,,,,Multicopter Position Slow Mode,RC_MAP_AUX{N} to allow for gimbal pitch rate control in position slow mode,metadata
多旋翼慢速模式控制,MC_SLOW_MAP_VVEL,0,,,,,Multicopter Position Slow Mode,Manual input mapped to scale vertical velocity in position slow mode,metadata
多旋翼慢速模式控制,MC_SLOW_MAP_YAWR,0,,,,,Multicopter Position Slow Mode,Manual input mapped to scale yaw rate in position slow mode,metadata
多旋翼慢速模式控制,MC_SLOW_MIN_HVEL,0.30000001192092896,,,,m/s,Multicopter Position Slow Mode,Horizontal velocity lower limit,metadata
多旋翼慢速模式控制,MC_SLOW_MIN_VVEL,0.30000001192092896,,,,m/s,Multicopter Position Slow Mode,Vertical velocity lower limit,metadata
多旋翼慢速模式控制,MC_SLOW_MIN_YAWR,3.0,,,,deg/s,Multicopter Position Slow Mode,Yaw rate lower limit,metadata
多旋翼控制其他,MC_AIRMODE,0,,,,,Mixer Output,Multicopter air-mode,metadata
多旋翼控制其他,MC_MAN_TILT_TAU,0.0,,,,s,Multicopter Position Control,Manual tilt input filter time constant,metadata
多旋翼控制其他,MC_ORBIT_RAD_MAX,1000.0,,,,m,Flight Task Orbit,Maximum radius of orbit,metadata
多旋翼控制其他,MC_ORBIT_YAW_MOD,0,,,,,Flight Task Orbit,Yaw behaviour during orbit flight,metadata
多旋翼自整定,MC_AT_APPLY,1,,,,,Autotune,Controls when to apply the new gains,metadata
多旋翼自整定,MC_AT_EN,1,0,,yes,,Autotune,Multicopter autotune module enable,metadata
多旋翼自整定,MC_AT_RISE_TIME,0.14000000059604645,,,,s,Autotune,Desired angular rate closed-loop rise time,metadata
多旋翼自整定,MC_AT_START,0,,,,,Autotune,Start the autotuning sequence,metadata
多旋翼自整定,MC_AT_SYSID_AMP,0.699999988079071,,,,,Autotune,Amplitude of the injected signal,metadata
多旋翼角速度控制,MC_BAT_SCALE_EN,0,,,,,Multicopter Rate Control,Battery power level scaler,metadata
多旋翼角速度控制,MC_PITCHRATE_D,0.0,0.003000000026077032,0.003000000026077032,yes,,Multicopter Rate Control,Pitch rate D gain,metadata
多旋翼角速度控制,MC_PITCHRATE_FF,0.0,,,,,Multicopter Rate Control,Pitch rate feedforward,metadata
多旋翼角速度控制,MC_PITCHRATE_I,0.11999999731779099,0.20000000298023224,0.20000000298023224,yes,,Multicopter Rate Control,Pitch rate I gain,metadata
多旋翼角速度控制,MC_PITCHRATE_K,1.0,,,,,Multicopter Rate Control,Pitch rate controller gain,metadata
多旋翼角速度控制,MC_PITCHRATE_P,0.10000000149011612,0.15000000596046448,0.15000000596046448,yes,,Multicopter Rate Control,Pitch rate P gain,metadata
多旋翼角速度控制,MC_PR_INT_LIM,0.30000001192092896,,,,,Multicopter Rate Control,Pitch rate integrator limit,metadata
多旋翼角速度控制,MC_ROLLRATE_D,0.0,0.003000000026077032,0.003000000026077032,yes,,Multicopter Rate Control,Roll rate D gain,metadata
多旋翼角速度控制,MC_ROLLRATE_FF,0.0,,,,,Multicopter Rate Control,Roll rate feedforward,metadata
多旋翼角速度控制,MC_ROLLRATE_I,0.11999999731779099,0.20000000298023224,0.20000000298023224,yes,,Multicopter Rate Control,Roll rate I gain,metadata
